Block,Tsurface,Tsoil,Tair,Moisture,Tresistance,W,id,resp,Soil,Origin,horizon,resp_corr,outliers,Soil_mass,Surface,resp_mass,Volume,resp_vol,theta,phi,theta_rel
1,15,9.5625,18.5,1368,5.4375,0.184286409,CTO_1,0.11,Certovo,Transplanted,Litter,0.094487179,NO,30.2,67,0.075464595,368.5,6.184615385,0.018515057,0.102,0.18152017
1,15,9.5625,18.5,1368,5.4375,0.184286409,PLO_1,0.16,Plesne,Native,Litter,0.137435897,NO,28,67,0.118391209,301.5,10.99487179,0.020981007,0.108,0.194268581
2,16,8.625,21.1875,1284,7.375,0.150203784,CTO_2,0.16,Certovo,Transplanted,Litter,0.137435897,NO,30.2,67,0.109766684,368.5,8.995804196,0.014485568,0.102,0.142015373
2,15.9375,8.625,21.125,1284,7.3125,0.150203784,PLO_2,0.17,Plesne,Native,Litter,0.146025641,NO,28,67,0.125790659,301.5,11.68205128,0.016414845,0.108,0.151989308
3,16.625,9.625,22.25,1843,7,0.319338302,PLO_3,0.23,Plesne,Native,Litter,0.197564103,NO,28,67,0.170187363,301.5,15.80512821,0.043570286,0.108,0.403428578
3,16.625,9.625,22.25,1843,7,0.319338302,CTO_3,0.41,Certovo,Transplanted,Litter,0.352179487,NO,30.2,67,0.281277127,368.5,23.05174825,0.038449363,0.102,0.376954541
4,16.75,9.625,21.375,1621,7.125,0.265921639,PLO_4,0.52,Plesne,Native,Litter,0.446666667,NO,28,67,0.384771429,301.5,35.73333333,0.033642013,0.108,0.311500118
4,16.75,9.625,21.375,1621,7.125,0.265921639,CTO_4,0.39,Certovo,Transplanted,Litter,0.335,NO,30.2,67,0.267556291,368.5,21.92727273,0.029687984,0.102,0.291058667
5,17.125,9.5,21.4375,1649,7.625,0.273439699,CTO_5,0.29,Certovo,Transplanted,Litter,0.249102564,NO,30.2,67,0.198952114,368.5,16.3048951,0.030843195,0.102,0.302384261
5,17.125,9.5,21.4375,1649,7.625,0.273439699,PLO_5,0.21,Plesne,Native,Litter,0.180384615,NO,28,67,0.155388462,301.5,14.43076923,0.034951081,0.108,0.323621124
1,20.1875,10.125,24.625,1368,10.0625,0.184286409,PLO_1,0.25,Plesne,Native,Litter,0.21474359,NO,28,67,0.184986264,301.5,17.17948718,0.020981007,0.108,0.194268581
1,20.1875,10.125,24.625,1368,10.0625,0.184286409,CTO_1,0.19,Certovo,Transplanted,Litter,0.163205128,NO,30.2,67,0.130347937,368.5,10.68251748,0.018515057,0.102,0.18152017
2,16.9375,9.25,22.75,1281,7.6875,0.148905454,PLO_2,0.12,Plesne,Native,Litter,0.103076923,NO,28,67,0.088793407,301.5,8.246153846,0.016248135,0.108,0.150445692
2,16.9375,9.25,22.75,1281,7.6875,0.148905454,CTO_2,0.13,Certovo,Transplanted,Litter,0.111666667,NO,30.2,67,0.08918543,368.5,7.309090909,0.014338451,0.102,0.140573053
3,19.625,10.125,24.5,1828,9.5,0.316132279,PLO_3,0.35,Plesne,Native,Litter,0.300641026,NO,28,67,0.258980769,301.5,24.05128205,0.042930649,0.108,0.397506008
3,19.625,10.125,24.5,1828,9.5,0.316132279,CTO_3,0.53,Certovo,Transplanted,Litter,0.45525641,NO,30.2,67,0.36360214,368.5,29.7986014,0.037884904,0.102,0.371420625
4,18.375,10.125,23.4375,1620,8.25,0.265648403,CTO_4,0.41,Certovo,Transplanted,Litter,0.352179487,NO,30.2,67,0.281277127,368.5,23.05174825,0.029646445,0.102,0.290651417
4,18,10.25,22.6875,1618,7.75,0.265100933,PLO_4,0.59,Plesne,Native,Litter,0.506794872,NO,28,67,0.436567582,301.5,40.54358974,0.03350073,0.108,0.310191948
5,17.5,10.0625,21.875,1647,7.4375,0.272911046,PLO_5,0.23,Plesne,Native,Litter,0.197564103,NO,28,67,0.170187363,301.5,15.80512821,0.034858146,0.108,0.322760609
