id,date_time,resp,time,round time,time tms,date,
CTO_6,2017.06.06 09:00,0.51,11:07,11:00,09:00,2017.06.06,
CTO_7,2017.06.06 09:15,0.14,11:15,11:15,09:15,2017.06.06,
CTO_8,2017.06.06 09:15,0.51,11:18,11:15,09:15,2017.06.06,
CTO_9,2017.06.06 09:15,0.54,11:22,11:15,09:15,2017.06.06,
CTO_10,2017.06.06 09:30,0.34,11:26,11:30,09:30,2017.06.06,
PLO_6,2017.06.06 09:45,0.73,11:50,11:45,09:45,2017.06.06,
PLO_7,2017.06.06 09:45,0.51,11:46,11:45,09:45,2017.06.06,
PLO_8,2017.06.06 09:45,0.2,11:42,11:45,09:45,2017.06.06,
PLO_9,2017.06.06 09:30,0.16,11:37,11:30,09:30,2017.06.06,
PLO_10,2017.06.06 09:30,0.13,11:32,11:30,09:30,2017.06.06,
CTA_6,2017.06.06 10:30,0.45,12:36,12:30,10:30,2017.06.06,
CTA_7,2017.06.06 10:30,0.38,12:32,12:30,10:30,2017.06.06,
CTA_8,2017.06.06 10:30,0.29,12:24,12:30,10:30,2017.06.06,
CTA_9,2017.06.06 10:30,0.25,12:24,12:30,10:30,2017.06.06,
CTA_10,2017.06.06 10:15,0.45,12:19,12:15,10:15,2017.06.06,
PLA_6,2017.06.06 10:00,0.37,11:57,12:00,10:00,2017.06.06,
PLA_7,2017.06.06 10:00,0.32,12:01,12:00,10:00,2017.06.06,
PLA_8,2017.06.06 10:00,0.3,12:05,12:00,10:00,2017.06.06,
PLA_9,2017.06.06 10:15,0.32,12:10,12:15,10:15,2017.06.06,
PLA_10,2017.06.06 10:15,0.59,12:14,12:15,10:15,2017.06.06,
CTC_1,2017.06.06 10:45,0.91,12:47,12:45,10:45,2017.06.06,
CTC_2,2017.06.06 10:45,0.71,12:51,12:45,10:45,2017.06.06,
CTC_3,2017.06.06 11:00,0.73,12:56,13:00,11:00,2017.06.06,
CTC_4,2017.06.06 11:00,0.72,13:00,13:00,11:00,2017.06.06,
CTC_5,2017.06.06 11:00,0.81,13:06,13:00,11:00,2017.06.06,
CTO_6,2017.06.06 11:30,0.35,13:37,13:30,11:30,2017.06.06,
CTO_7,2017.06.06 11:30,0.13,13:32,13:30,11:30,2017.06.06,
CTO_8,2017.06.06 11:30,0.79,13:27,13:30,11:30,2017.06.06,
CTO_9,2017.06.06 11:15,0.5,13:19,13:15,11:15,2017.06.06,
CTO_10,2017.06.06 11:15,0.31,13:14,13:15,11:15,2017.06.06,
PLO_6,2017.06.06 11:45,0.8,13:43,13:45,11:45,2017.06.06,
PLO_7,2017.06.06 11:45,0.54,13:48,13:45,11:45,2017.06.06,
PLO_8,2017.06.06 12:00,0.17,13:54,14:00,12:00,2017.06.06,
PLO_9,2017.06.06 12:00,0.14,13:59,14:00,12:00,2017.06.06,
PLO_10,2017.06.06 12:00,0.19,14:04,14:00,12:00,2017.06.06,
CTA_6,2017.06.06 12:30,0.41,14:27,14:30,12:30,2017.06.06,
CTA_7,2017.06.06 12:15,0.3,14:22,14:15,12:15,2017.06.06,
CTA_8,2017.06.06 12:15,0.35,14:18,14:15,12:15,2017.06.06,
CTA_9,2017.06.06 12:15,0.21,14:13,14:15,12:15,2017.06.06,
